gene.sym	p value	LogFC
PPP2R1A	0.001025831	4.193957
PTX3	0.00201827	2.869882
ITGB3	0.019947236	1.801204
ATP1A1	0.029327237	2.802053
MARCKS	0.032266051	4.390528
ATP1A1	0.034097902	3.100714
DPYSL2	0.041457095	1.737272
DPYSL2	0.050208656	1.771195
PGK1	0.058478494	0.849386
PGK1	0.058478494	0.849386
CD44	0.066916722	1.771267
GNB1	0.067090668	0.652565
YWHAZ	0.068418554	2.168333
DKK3	0.069370758	1.27904
YWHAE	0.070000382	2.179144
YWHAE	0.070167362	2.166961
YWHAG	0.071930007	2.184723
YWHAQ	0.072096128	2.184845
ANXA1	0.073321984	1.982185
HSP90AA1	0.074874112	1.467124
TGFBI	0.077783614	1.239426
VIM	0.08284976	1.015152
VIM	0.08284976	1.015152
HLA-A	0.084335114	3.182198
ACAN	0.090432398	0.719824
BMP1	0.101264737	2.057229
SERPINF2	0.111823393	1.282789
COL1A2	0.113056404	1.66956
ANXA6	0.117394129	2.321579
PRDX6	0.119433435	2.361822
ITIH2	0.1218882	1.181457
KRT6A	0.122643679	2.192078
ITGAV	0.125250361	2.100352
HLA-A	0.126215198	3.123994
ANXA2	0.132027096	1.877252
ANXA2	0.132027096	1.877252
RDX	0.13353345	3.945535
IGSF8	0.138024417	2.121438
CFL1	0.144111895	1.954189
HAPLN3	0.151279011	1.928809
ENO1	0.15368477	3.114169
ENO1	0.15368477	3.114169
MSN	0.155011803	3.018293
BSG	0.160616942	2.3543
BSG	0.160616942	2.3543
EZR	0.161051919	2.953985
MSN	0.16258157	2.748362
HSP90AB1	0.166714439	1.15105
POSTN	0.17651388	1.340132
HSPA8	0.18000513	1.126242
BGN	0.181425489	3.060967
C5	0.181504591	1.128539
LDHB	0.182343949	0.906785
LDHB	0.187185206	1.00095
LGALS3BP	0.194599213	1.461593
ITIH3	0.201835597	0.896707
LIPG	0.207097277	1.303642
VCL	0.213259539	2.850137
RAB5C	0.213280214	1.421781
HSPB1	0.214270974	0.917047
KPNB1	0.215974837	1.646171
ARF3	0.220847417	1.7772
GPRC5B	0.222561367	0.965239
COMP	0.224634786	0.83003
GAPDH	0.229751081	1.960067
ANXA5	0.237481634	1.787235
SPARC	0.243162507	1.302316
ACTC1	0.244360412	1.090823
ACTB	0.244621893	1.102469
ACTG1	0.244763681	1.10214
TTYH1	0.249476473	0.879623
ACTC1	0.249478489	1.040386
BCAN	0.251838698	4.051715
ARF3	0.253661426	1.737155
ACTN1	0.257245234	1.77474
HAPLN1	0.257892354	1.484816
C3	0.259736519	0.845704
WDR1	0.263132421	1.835887
HLA-DRA	0.264525811	0.963307
ARF4	0.266124934	2.05986
PTPRZ1	0.270777959	0.906341
PDCD6IP	0.270786041	1.164932
ACTN4	0.272910328	1.774969
RAB7A	0.274863792	1.821292
PTGFRN	0.275730132	1.064113
THBS4	0.280799812	0.88959
SERPINC1	0.284711818	0.828962
SERPINE1	0.284839	1.187861
ACTN4	0.289667567	1.775296
GPM6B	0.290312234	1.203999
TTYH3	0.306221064	1.354353
GPC1	0.311767791	1.485503
THBS3	0.312323013	0.761954
RAB1B	0.315330612	0.975938
KRT14	0.320534227	1.913115
HBB	0.320612307	0.641886
HBB	0.320612307	0.641886
GPM6A	0.32588376	0.768441
ITGA3	0.335706583	1.283648
SLC3A2	0.34058642	2.125971
RAB1B	0.340778571	1.081094
ITGB1	0.353098025	1.456573
SERPIND1	0.355602882	1.179303
PRDX2	0.360333915	0.834494
RAB10	0.366306035	1.112489
NID1	0.3703554	0.843434
DPYSL3	0.371012476	2.818704
TSPAN14	0.375798535	0.637911
C7	0.375950376	1.129856
EEF1A1	0.37704632	1.022122
SLC44A2	0.378824936	2.021611
PRSS23	0.382011575	0.931694
PKM	0.388759763	1.280962
FERMT3	0.394704781	0.479628
RACK1	0.399880592	1.783439
IGFBP7	0.400014723	1.391376
PSMA6	0.40303356	1.810651
ARPC4	0.403231298	1.84779
FSCN1	0.407905104	0.699952
HLA-DRB1	0.40791572	1.691293
HLA-DRB1	0.40832857	1.827265
LDHA	0.41114007	1.50094
KRT5	0.411430134	1.411664
CALM1	0.415148792	1.109098
RDX	0.422649731	
TLN1	0.42767627	0.71599
TNC	0.431805986	1.020886
TNC	0.436177579	1.005135
TNC	0.440893343	0.988528
APP	0.441270987	2.313908
A2M	0.446570054	1.117259
CLTC	0.458868325	1.155021
HSP90B1	0.471641771	1.330347
EEF2	0.472354642	2.051658
KRT2	0.472393705	1.648501
APP	0.484579844	2.826392
SLC44A1	0.485647582	1.564632
FLNA	0.488763195	0.741872
EEF1G	0.491857389	1.553538
A2M	0.493005021	0.835821
CD81	0.496290521	0.623473
ITGA2	0.496776174	1.137629
KRT10	0.49845689	2.057967
KRT10	0.499003985	2.119371
CCT4	0.501986454	2.423253
FBLN1	0.50705954	0.583157
RAB11B	0.507237886	1.122252
KRT1	0.515203916	1.678324
MYL6	0.539493477	1.09501
HTRA1	0.541834852	0.760413
SDCBP	0.545889925	0.489357
KRT2	0.547583209	1.428755
NCAN	0.551299758	0.901756
MYL6	0.551522863	1.213034
PSMD2	0.55270974	1.63078
TUBB4B	0.56142173	1.368373
TUBB3	0.563214073	1.348893
TUBA1A	0.565763483	0.872405
TUBB	0.570239618	1.287573
TUBB	0.570545628	1.315399
TUBB2A	0.57824321	1.22811
TUBB2B	0.578795989	1.225159
PSAP	0.579404054	0.86262
IGF2R	0.580170655	1.188585
HSPA5	0.585631997	0.852309
CLSTN1	0.58818684	0.606132
KRT9	0.588614575	0.09641868
GANAB	0.5926534	1.412973
LRP1	0.59621156	0.447865
AGRN	0.59699557	0.753213
GPC4	0.597998348	0.818601
GPC4	0.597998348	0.818601
MYH9	0.604315615	1.1609
LUM	0.615610568	0.544966
SDCBP	0.617913918	0.368702
HBA1	0.629418248	0.3516
TUBA1A	0.638496074	0.776032
APOE	0.647860916	0.466247
PZP	0.649063601	0.392028
MYH9	0.654704303	0.890765
SLC16A1	0.654716969	0.649818
LAMA4	0.659491821	0.442453
SLC1A3	0.665422212	0.878583
MRC2	0.687033424	0.673784
SDCBP	0.693335921	0.271817
LAMB2	0.706057743	0.851746
GNAI3	0.709132273	0.498536
LAMA5	0.712272405	0.259419
LAMA5	0.712272405	0.259419
RAB2A	0.714453913	0.715422
AGRN	0.714485281	0.298328
AGRN	0.714485281	0.298328
F5	0.715486012	0.555655
RAB14	0.729545116	0.786973
GNAS	0.737371463	0.604363
HIST1H2AB	0.745149118	0.545547
AFP	0.749685429	0.345964
GC	0.756932991	0.38453
RAB5C	0.765401539	0.425891
GNAO1	0.769517572	0.334866
FASN	0.775973747	0.642886
CD59	0.782667802	0.269831
COL18A1	0.782902053	0.429644
HIST1H2AB	0.786795122	0.38443
NCAM1	0.788352137	0.289795
CLU	0.791509061	0.228572
THBS1	0.799512641	0.259548
APOB	0.808165801	0.209937
	0.811526861	0.05232164
TUBAL3	0.816788672	0.361958
COL1A1	0.826710301	0.215593
LAMB1	0.831201934	0.1012
HGFAC	0.834892093	0.306855
SERPINA3	0.836282752	0.283635
PSMA4	0.849371127	0.354871
H2AFX	0.855608464	0.275969
RAP1A	0.875064978	0.14196
RAP1A	0.875064978	0.14196
C4A	0.889996481	0.163888
C4A	0.889996481	0.163888
CD9	0.896886308	0.108194
PROM1	0.896956628	0.189983
LTF	0.905419145	0.08831333
LAMC1	0.931118584	0.08520325
SLC2A1	0.934096873	0.04494295
HIST1H4A	0.951538731	0.110512
HSPG2	0.95619464	0.08291986
FLNA	0.96322356	0.03410017
PLTP	0.971229713	0.05398262
MFGE8	0.97257875	0.02192572
CANX	0.973587151	0.07628236
THBS1	0.974919463	0.02422418
F2	0.976988265	0.02646148
COL6A1	0.984680322	0.02248446
MYH10	0.995148593	0.01157339
